## 1st column: lemma; 2nd column: semantic tag; 3rd column: condition, where semantic tag should be inserted (can be a perl regular expression)

## movement tag to set the right case
# [-Mov] : no movement, status	=> Dat
# [+Mov] : movement, change	=> Akk

sein	[-Mov]	my.pos=/VA/

legen	[+Mov]	my.pos=/VV/
liegen	[-Mov]	my.pos=/VV/

stehen	[-Mov]	my.pos=/VV/
stellen	[+Mov]	my.pos=/VV/

hängen	[-Mov]	my.pos=/VV/
auf|hängen	[+Mov]	my.pos=/VV/

setzen	[+Mov]	my.pos=/VV/
sitzen	[-Mov]	my.pos=/VV/

wohnen	[-Mov]	my.pos=/VV/

## container tag to set the right preposition
# en => dentro de : into a container
# en => encima de : on a surface
Boden		[-Cont]		my.pos=/NN/	# TODO: somehow both: -Cont: auf dem Boden; +Cont: im Boden
Fussboden	[-Cont]		my.pos=/NN/
Krug		[+Cont]		my.pos=/NN/
Schublade	[+Cont]		my.pos=/NN/
Schule		[+Cont]		my.pos=/NN/
Tisch		[-Cont]		my.pos=/NN/
Vase		[+Cont]		my.pos=/NN/

## sports do not have article
Fussball	[-Art]	my.pos=/NN/
Tennis		[-Art]	my.pos=/NN/

## languages do not have article
# el español => Spanisch
Chinesisch	[-Art]	my.pos=/NN/ && my.mi=/Neut.Sg/
Deutsch		[-Art]	my.pos=/NN/ && my.mi=/Neut.Sg/
Hochchinesisch	[-Art]	my.pos=/NN/ && my.mi=/Neut.Sg/
Mandarin	[-Art]	my.pos=/NN/ && my.mi=/Neut.Sg/
Spanisch	[-Art]	my.pos=/NN/ && my.mi=/Neut.Sg/

## some countries have article in Spanish but not in German
Peru		[-Art]	my.pos=/NE/
